   0.1700201676E+08  0.7628908756E+02  0.1570552971E+25  0.1241948629E+18  0.2441925841E+16
   0.1757830240E+08  0.7628908033E+02  0.1735729469E+25  0.1241948472E+18  0.2441925764E+16
   0.1817412133E+08  0.7628907261E+02  0.1918277731E+25  0.1241948304E+18  0.2441925682E+16
   0.1879013566E+08  0.7628906436E+02  0.2120024761E+25  0.1241948125E+18  0.2441925593E+16
   0.1942702990E+08  0.7628905553E+02  0.2342989711E+25  0.1241947933E+18  0.2441925499E+16
   0.2008551180E+08  0.7628904610E+02  0.2589404090E+25  0.1241947729E+18  0.2441925399E+16
   0.2076631307E+08  0.7628903601E+02  0.2861734095E+25  0.1241947510E+18  0.2441925291E+16
   0.2147019023E+08  0.7628902524E+02  0.3162705297E+25  0.1241947276E+18  0.2441925176E+16
   0.2219792546E+08  0.7628901371E+02  0.3495329917E+25  0.1241947026E+18  0.2441925053E+16
   0.2295032743E+08  0.7628900140E+02  0.3862936974E+25  0.1241946758E+18  0.2441924922E+16
   0.2372823223E+08  0.7628898823E+02  0.4269205602E+25  0.1241946473E+18  0.2441924781E+16
   0.2453250429E+08  0.7628897416E+02  0.4718201874E+25  0.1241946167E+18  0.2441924631E+16
   0.2536403734E+08  0.7628895912E+02  0.5214419497E+25  0.1241945841E+18  0.2441924471E+16
   0.2622375540E+08  0.7628894304E+02  0.5762824783E+25  0.1241945492E+18  0.2441924299E+16
   0.2711261383E+08  0.7628892585E+02  0.6368906356E+25  0.1241945119E+18  0.2441924116E+16
   0.2803160035E+08  0.7628890748E+02  0.7038730084E+25  0.1241944720E+18  0.2441923920E+16
   0.2898173617E+08  0.7628888784E+02  0.7778999789E+25  0.1241944293E+18  0.2441923710E+16
   0.2996407711E+08  0.7628886684E+02  0.8597124339E+25  0.1241943838E+18  0.2441923486E+16
   0.3097971479E+08  0.7628884440E+02  0.9501291798E+25  0.1241943351E+18  0.2441923247E+16
   0.3202977782E+08  0.7628882041E+02  0.1050055138E+26  0.1241942830E+18  0.2441922991E+16
   0.3311543307E+08  0.7628879477E+02  0.1160490401E+26  0.1241942273E+18  0.2441922717E+16
   0.3423788698E+08  0.7628876736E+02  0.1282540242E+26  0.1241941678E+18  0.2441922425E+16
   0.3539838685E+08  0.7628873806E+02  0.1417426176E+26  0.1241941043E+18  0.2441922112E+16
   0.3659822230E+08  0.7628870675E+02  0.1566498189E+26  0.1241940363E+18  0.2441921778E+16
   0.3783872663E+08  0.7628867327E+02  0.1731248241E+26  0.1241939636E+18  0.2441921421E+16
   0.3912127835E+08  0.7628863748E+02  0.1913325208E+26  0.1241938859E+18  0.2441921039E+16
   0.4044730271E+08  0.7628859923E+02  0.2114551377E+26  0.1241938029E+18  0.2441920631E+16
   0.4181827326E+08  0.7628855834E+02  0.2336940687E+26  0.1241937141E+18  0.2441920194E+16
   0.4323571350E+08  0.7628851463E+02  0.2582718884E+26  0.1241936193E+18  0.2441919728E+16
   0.4470119857E+08  0.7628846791E+02  0.2854345800E+26  0.1241935179E+18  0.2441919230E+16
   0.4621635702E+08  0.7628841796E+02  0.3154539969E+26  0.1241934094E+18  0.2441918697E+16
   0.4778287260E+08  0.7628836458E+02  0.3486305833E+26  0.1241932936E+18  0.2441918127E+16
   0.4940248613E+08  0.7628830751E+02  0.3852963819E+26  0.1241931697E+18  0.2441917518E+16
   0.5107699744E+08  0.7628824651E+02  0.4258183561E+26  0.1241930373E+18  0.2441916867E+16
   0.5280826739E+08  0.7628818131E+02  0.4706020635E+26  0.1241928958E+18  0.2441916172E+16
   0.5459821992E+08  0.7628811160E+02  0.5200957146E+26  0.1241927445E+18  0.2441915428E+16
   0.5644884417E+08  0.7628803710E+02  0.5747946584E+26  0.1241925827E+18  0.2441914633E+16
   0.5836219674E+08  0.7628795746E+02  0.6352463403E+26  0.1241924099E+18  0.2441913783E+16
   0.6034040394E+08  0.7628787232E+02  0.7020557811E+26  0.1241922251E+18  0.2441912875E+16
